ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
BD-L-01,5904844914514,"Large bedding with filling ""Dandelions"" L",,"Dimensions: pillow - 50 cm x 40 cm, quilt: 120 cm x 90 cm.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: high-fluffy silicone non-woven fabric 200 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",73,0.2,>25% <35%,DANDELIONS,"100% PREMIUM COTTON 140 grams,
200 gr high fluffy silicone nonwoven fabric ","Quilt: 120x90 cm
Pillow: 50x40 cm",,"Quantity of product in a box 80x40x60cm:
12 pcs",,PHOTOS
BD-2W1-01,5904844914521,"Bedding with filling 2in1 ""Dandelions"" swaddle ",,"Dimensions: pillow - 35 cm x 30 cm, quilt: 75 cm x 75 xm.
Ribbon: 150 cm long.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: silicone non-woven fabric 250 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",49,0.2,>25% <35%,DANDELIONS,"100% PREMIUM COTTON 140 grams,
250 gr silicone non-woven fabric","Quilt: 75x75 cm
Pillow: 35x30 cm",,"Quantity of product in a box 80x40x60cm:
24 pcs",,
BD-L-02,5904844914538,"Large bedding with filling ""Brown leaves"" L",,"Dimensions: pillow - 50 cm x 40 cm, quilt: 120 cm x 90 cm.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: high-fluffy silicone non-woven fabric 200 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",73,0.2,>25% <35%,BROWN LEAVES,"100% PREMIUM COTTON 140 grams,
200 gr high fluffy silicone nonwoven fabric ","Quilt: 120x90 cm
Pillow: 50x40 cm",,"Quantity of product in a box 80x40x60cm:
12 pcs",,PHOTOS
BD-2W1-02,5904844914545,"Bedding with filling 2in1 Swaddle ""Brown leaves"" ",,"Dimensions: pillow - 35 cm x 30 cm, quilt: 75 cm x 75 xm.
Ribbon: 150 cm long.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: silicone non-woven fabric 250 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",49,0.2,>25% <35%,BROWN LEAVES,"100% PREMIUM COTTON 140 grams,
250 gr silicone non-woven fabric","Quilt: 75x75 cm
Pillow: 35x30 cm",,"Quantity of product in a box 80x40x60cm:
24 pcs",,
BD-L-03,5904844914552,"Large bedding with filling ""Green branches"" L",,"Dimensions: pillow - 50 cm x 40 cm, quilt: 120 cm x 90 cm.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: high-fluffy silicone non-woven fabric 200 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",73,0.2,>25% <35%,GREEN TRANSFERS,"100% PREMIUM COTTON 140 grams,
200 gr high fluffy silicone nonwoven fabric ","Quilt: 120x90 cm
Pillow: 50x40 cm",,"Quantity of product in a box 80x40x60cm:
12 pcs",,PHOTOS
BD-2W1-03,5904844914569,"Bedding with filling 2in1 Swaddle ""Green Twigs"" ",,"Dimensions: pillow - 35 cm x 30 cm, quilt: 75 cm x 75 xm.
Ribbon: 150 cm long.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: silicone non-woven fabric 250 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",49,0.2,>25% <35%,GREEN TRANSFERS,"100% PREMIUM COTTON 140 grams,
250 gr silicone non-woven fabric","Quilt: 75x75 cm
Pillow: 35x30 cm",,"Quantity of product in a box 80x40x60cm:
24 pcs",,
BD-L-04,5904844914576,"Large bedding with filling ""Polish forest"" L",,"Dimensions: pillow - 50 cm x 40 cm, quilt: 120 cm x 90 cm.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: high-fluffy silicone non-woven fabric 200 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",73,0.2,>25% <35%,POLISH FOREST,"100% PREMIUM COTTON 140 grams,
200 gr high fluffy silicone nonwoven fabric ","Quilt: 120x90 cm
Pillow: 50x40 cm",,"Quantity of product in a box 80x40x60cm:
12 pcs",,PHOTOS
BD-2W1-04,5904844914583,"Bedding with filling 2in1 Swaddle ""Polish forest""",,"Dimensions: pillow - 35 cm x 30 cm, quilt: 75 cm x 75 xm.
Ribbon: 150 cm long.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 140 grams.
Filling: silicone non-woven fabric 250 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",49,0.2,>25% <35%,POLISH FOREST,"100% PREMIUM COTTON 140 grams,
250 gr silicone non-woven fabric","Quilt: 75x75 cm
Pillow: 35x30 cm",,"Quantity of product in a box 80x40x60cm:
24 pcs",,
BD-L-ECRU,5904844914590,"Large bedding with filling ""Ecru Basic"" L",,"Dimensions: pillow - 50 cm x 40 cm, quilt: 120 cm x 90 cm.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 155 grams.
Filling: high-fluffy silicone non-woven fabric 200 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",47,0.2,>25% <35%,ECRU BASIC,"100% PREMIUM COTTON 155 grams,
200 gr high fluffy silicone nonwoven fabric ","Quilt: 120x90 cm
Pillow: 50x40 cm",,"Quantity of product in a box 80x40x60cm:
12 pcs",,PHOTOS
BD-2W1-ECRU,5904844914606,"Bedding with filling 2in1 Swaddle ""Ecru Basic""",,"Dimensions: pillow - 35 cm x 30 cm, quilt: 75 cm x 75 xm.
Ribbon: 150 cm long.
The set is made of certified OEKO-TEX Standard 100 materials.
Fabric: 100% Premium Cotton 155 grams.
Filling: silicone non-woven fabric 250 grams.
Wash at 30 degrees C. The quilt has stitching in 4 places to prevent the filling from shifting during washing.",69,0.2,>25% <35%,ECRU BASIC,"100% PREMIUM COTTON 155 grams,
250 gr silicone non-woven fabric","Quilt: 75x75 cm
Pillow: 35x30 cm",,"Quantity of product in a box 80x40x60cm:
24 pcs",,
