ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,VAT,WHOLESALE PRICE,RETAIL PRICE,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,
1201-08 N,5904844912510,Moses basket,,,,88,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1201-08 W,5904844912527,Moses basket,,,,101,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1201-08-D,5904844912534,Moses basket,,,,88,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-88-N,5904844912541,Moses basket,,,,83,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-88-W,5904844912558,Moses basket,,,,96,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-88-D,5904844912565,Moses basket,,,,83,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-1s1-N,5904844912572,Moses basket,,,,83,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-1s1-W,5904844912589,Moses basket,,,,96,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-1s1-D,5904844912596,Moses basket,,,,83,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-8s1-N,5904844912602,Moses basket,,,,83,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-8s1-W,5904844912619,Moses basket,,,,96,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1202-8S1-D,5904844912626,Moses basket,,,,83,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-88-N,5904844912633,Moses basket,,,,71,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-88-W,5904844912640,Moses basket,,,,80,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-88-D,5904844912657,Moses basket,,,,71,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-1s1-N,5904844912664,Moses basket,,,,71,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-1s1-W,5904844912671,Moses basket,,,,80,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-1s1-D,5904844912688,Moses basket,,,,71,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-8s1-N,5904844912695,Moses basket,,,,71,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-8s1-W,5904844912701,Moses basket,,,,80,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1203-8s1-D,5904844912718,Moses basket,,,,71,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1205-38,5904844912725,Moses basket,,,,94,,Blue,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1205-58,5904844912732,Moses basket,,,,94,,Without,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1205-78,5904844912749,Moses basket,,,,94,,Pink,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1205-88,5904844912756,Moses basket,,,,94,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1205-11,5904844910431,Moses basket,,,,94,,Gray,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1205-8p18,5904844912763,Moses basket,,,,94,,Gray  dots,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-08-N,5904844912770,Moses basket,,,,90,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-08-W,5904844912787,Moses basket,,,,106,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-08-D,5904844912794,Moses basket,,,,90,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-1s1-N,5904844912831,Moses basket,,,,90,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-1s1-W,5904844912848,Moses basket,,,,106,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-1s1-D,5904844912855,Moses basket,,,,90,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-8s1-N,5904844912862,Moses basket,,,,90,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-8s1-W,5904844912879,Moses basket,,,,106,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-8s1-D,5904844912886,Moses basket,,,,90,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-8s8-N,5904844912893,Moses basket,,,,90,,Whistles White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-8s8-W,5904844912909,Moses basket,,,,106,,Stars White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1207-8s8-D,5904844912916,Moses basket,,,,90,,Stars White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-88-N,5904844912923,Moses basket,,,,96,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-88-W,5904844912930,Moses basket,,,,107,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-88-D,5904844912947,Moses basket,,,,96,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1s1-N,5904844912954,Moses basket,,,,96,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1s1-W,5904844912961,Moses basket,,,,107,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1s1-D,5904844912978,Moses basket,,,,96,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-8s1-N,5904844912985,Moses basket,,,,96,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-8s1-W,5904844912992,Moses basket,,,,107,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-88-G,5904844913005,Moses basket,,,,107,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-88-GH,5904844913555,Moses basket,,,,107,,White,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1s1-G,5904844913012,Moses basket,,,,107,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1s1-GH,5904844913562,Moses basket,,,,107,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-8s1-G,5904844913029,Moses basket,,,,107,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-8s1-D,5904844913036,Moses basket,,,,96,,Gray stars,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1k1 N,5904844913043,Moses basket,,,,96,,Gray grille,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1k1 W,5904844913050,Moses basket,,,,107,,Gray grille,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1k1-G,5904844913067,Moses basket,,,,107,,Gray grille,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-1k1 D,5904844913074,Moses basket,,,,96,,Gray grille,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-8k1-N,5904844913081,Moses basket,,,,96,,Gray grille,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
1211-8k1-W,5904844913098,Moses basket,,,,107,,Gray grille,"Cotton,
wicker,
wood",98 cm/ 60 cm/ 76 or 123 cm,13 kg,60 cm/ 40 cm/ 104 cm,14 kg
