ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,
2001-01-N,5903957708041,SIDE BED 2IN1 + MATTRESS ,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The crib can be adjusted in 7 levels, raising the height by 3.2 cm each time.
- The set includes elements necessary for assembly.",159.9,0.2,>20% <30%,"NATURAL,
WHITE","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-88-N,5903957708249,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
WHITE","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-SMIX-N,5903957708270,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
GREY
STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-8S1-N,5903957708232,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,NATURAL,"BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-38-N,5904844910264,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
BLUE ","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-77-N,5904844910271,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
PINK","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-S17-N,5903957708294,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
WHITE, 
GRAY AND PINK
STARS ","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-P18-N,5903957708324,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
WHITE,
GRAY DOTS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-P81-N,5903957708317,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"WHITE,
GRAY,
WHITE DOTS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-S13-N,5903957708300,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"NATURAL,
WHITE,
BLUE AND GRAY STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
